60,"THORChain","$2,242,859,253","$6.70","334,561,307","$289,930,647","2.30 %",2024-05-25 08:37:00
67,"Algorand","$1,579,153,177","$0.19","8,165,446,629","$53,891,485","0.22 %",2024-05-25 08:37:00
68,"Aave","$1,578,956,538","$106.50","14,818,402","$187,649,695","3.80 %",2024-05-25 08:37:00
74,"Flow","$1,434,730,572","$0.95","1,508,945,933","$30,626,552","0.13 %",2024-05-25 08:37:00
79,"Quant","$1,366,227,798","$93.95","14,544,176","$19,602,469","2.74 %",2024-05-25 08:37:00
80,"Bitcoin SV","$1,260,256,092","$63.93","19,706,100","$16,892,620","9.24 %",2024-05-25 08:37:00
85,"Axie Infinity","$1,166,031,998","$8.04","145,146,063","$62,282,302","2.05 %",2024-05-25 08:37:00
90,"NEO","$1,082,882,911","$15.36","70,530,000","$36,205,761","1.63 %",2024-05-25 08:37:00
91,"MultiversX","$1,063,199,089","$39.41","26,979,165","$22,316,546","5.02 %",2024-05-25 08:37:00
92,"Chiliz","$1,062,054,848","$0.12","8,888,888,888","$56,103,521","1.00 %",2024-05-25 08:37:00
95,"Gate","$1,038,659,034","$7.97","130,359,278","$2,772,959","0.15 %",2024-05-25 08:37:00
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2024-05-25 08:37:00
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2024-05-25 08:37:00
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2024-05-25 08:37:00
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2024-05-25 08:37:00
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2024-05-25 08:37:00
